index	sim_time	step_time	success	C01	C12	D01	D12	H01	H12	state_br0	state_br1	state_br2	speed_br0	speed_br1	speed_br2	actuation_br0	actuation_br1	actuation_br2	objective	
0	1.974608	1.694325	True	15.310422512677256	15.310499025711856	0.2500002110019811	0.2499999912911641	1.4360900009907287	1.4361064706411295	[1.9999981534954334, -4.8320242904440715e-11, 1.660902409537455e-06, 4.202962971784021e-07, 6.174554933791144e-07, 7.179086931119049e-07]	[2.5000000000108926, -1.0917137870632342e-11, -3.105391146686301e-05, -1.0618057756688297e-06, -1.0618095253022344e-06, -1.1519723949750935e-06]	[3.0000000000070965, -7.0965099697116025e-12, -3.14538386901176e-05, -6.753783941564143e-07, -6.753788505762536e-07, -6.754627031372465e-07]	[-0.0003695161913698843, -9.911311124878744e-09, 0.00033242993485980586, 8.411002225920143e-05, 0.00012356576953370787, 0.0001436864856279729]	[-2.234981171651692e-09, 2.231117906487746e-09, -0.006215448452256264, -0.00021248963320086105, -0.00021249013864884476, -0.00023056271294403814]	[-1.4149879165784155e-09, 1.4156598150248547e-09, -0.0062954939899485226, -0.0001351573671205731, -0.00013515736711019964, -0.0001351911646260315]	[-0.42420096490526454, -1.0356819336314741e-05, 7.6049590779356375, 0.0013431544395652582, 0.001973223968500252, 0.0022939584101044097]	[-1.1918016832141618e-08, 6.271033561558452e-09, 0.0918452060434368, -0.003393250726768526, -0.0033932587987204788, -0.0036809395963923455]	[-0.42420096490526454, -1.0356819336314741e-05, 7.6049590779356375, 0.0013431544395652582, 0.001973223968500252, 0.0022939584101044097]	0.42378653248252884	
1	2.621474	0.583997	True	15.31011614249699	15.310499027942353	0.2500010549128096	0.24999995637925096	1.4360232323551818	1.4361056694904508	[1.9999907599060247, -3.156000978863828e-10, 3.974940944870216e-05, 1.62493183096222e-06, 2.2402800487380097e-06, 2.4071409017204733e-06]	[2.500000000170656, -1.7071627857364894e-10, -0.00012400236909133368, -4.142149786068197e-06, -4.142178078205611e-06, -4.4808148028664805e-06]	[3.0000000001130025, -1.1296185190171799e-10, -0.00012600461587494017, -2.6797698935843855e-06, -2.6797770786674707e-06, -2.6811199905489023e-06]	[-0.001109644552125731, -3.3645312231679824e-08, 0.0072904929214440365, 0.00015683951497241208, 0.0002010153691198857, 0.00019419645904798321]	[-1.762170149861433e-08, 1.7623602260629254e-08, -0.012378870173226118, -0.00040364324552054755, -0.0004036441853646009, -0.0004353567028496353]	[-1.1287385109484555e-08, 1.1298152011049621e-08, -0.012619409035654222, -0.00026576671179707226, -0.0002657667113693251, -0.00026603637476622975]	[-0.8481778289076024, -2.021350311267692e-05, 15.205567593657968, 0.0011575482833024767, 0.0012311082128771784, 0.0007963349607324434]	[-1.620752747634457e-08, 4.751816395143094e-09, 0.18373732188535274, -0.003042757818172458, -0.00304276474922546, -0.003253401885528408]	[-0.8481778289076024, -2.021350311267692e-05, 15.205567593657968, 0.0011575482833024767, 0.0012311082128771784, 0.0007963349607324434]	0.6600673160847512	
2	3.017920	0.358133	True	15.309426139646607	15.31049903688604	0.2500029530563595	0.2499998776507045	1.435872809156228	1.4361038639477175	[1.9999741084967788, -1.2689140385696404e-09, 0.00018064292317183909, 3.157158034466642e-06, 4.701341786161345e-06, 5.174668827699546e-06]	[2.5000000008452474, -8.4509407035232e-10, -0.00027832377791683503, -9.201748404022807e-06, -9.201861555483203e-06, -9.94335169588476e-06]	[3.000000000571553, -5.712313691808484e-10, -0.00028393718316459596, -6.031278572279151e-06, -6.031314987978351e-06, -6.038095830642617e-06]	[-0.0022213853213061737, -7.495745140750258e-08, 0.020898414010632076, 0.00014956017106268208, 0.0002912025716907751, 0.00035942840666547415]	[-5.859872247578199e-08, 5.865283692566376e-08, -0.018489999434995658, -0.0006083064861189625, -0.0006083079361752764, -0.000657319277445861]	[-3.799977368591763e-08, 3.805414795219743e-08, -0.018971873444106332, -0.00040455534312433447, -0.00040455533985391266, -0.0004054633798353599]	[-1.2718156912457572, -2.9860729797590112e-05, 22.79965144286247, -0.00012144195538786422, 0.0014339173568713613, 0.002624338508500093]	[-1.7079323341659568e-08, -1.8511555016021341e-10, 0.27566483841694844, -0.003254797814667831, -0.003254806046046725, -0.003513163198984058]	[-1.2718156912457572, -2.9860729797590112e-05, 22.79965144286247, -0.00012144195538786422, 0.0014339173568713613, 0.002624338508500093]	0.9129807361237254	
3	4.890321	1.681955	True	15.308427781559164	15.310499059260458	0.2500058706571112	0.2499997290708634	1.43565911704632	1.4361004580024004	[1.9999500164935233, -2.5342165890790885e-09, 0.00038508981180793015, 3.8092867207302574e-06, 9.083764209633854e-06, 1.0200746108925328e-05]	[2.5000000026248834, -2.6186528295349957e-09, -0.0004931121996146943, -1.5490235207427505e-05, -1.5490270461571456e-05, -1.842930355851261e-05]	[3.0000000018103274, -1.8089643277313916e-09, -0.0005055376781300311, -1.068759120143135e-05, -1.0687705642826697e-05, -1.0709127780080682e-05]	[-0.0025975015648810485, 5.575927509327631e-09, 0.01999024962008422, -1.928070567986031e-05, 0.0005853904925199071, 0.0006459927976657934]	[-1.2725453151513797e-07, 1.2844454798178666e-07, -0.024472175939959557, -0.0006492848503664658, -0.0006492251844281146, -0.001040165785183684]	[-9.008518478752962e-08, 9.025697333028973e-08, -0.02535301610140129, -0.0005266876295250063, -0.0005266876156211064, -0.0005288407589660192]	[-0.42287207429768314, 0.00011900462017674595, 6.073232546013678, -0.002697321321607952, 0.0046922834742095755, 0.004549847827325206]	[1.0342751691875657e-05, -9.235736748120625e-06, 0.4552824206180327, -0.000641182129541013, -0.0006402065697341218, -0.006066141917321516]	[-0.42287207429768314, 0.00011900462017674595, 6.073232546013678, -0.002697321321607952, 0.0046922834742095755, 0.004549847827325206]	0.6732314997876621	
4	7.804696	2.647530	True	15.307279084937173	15.310499094160837	0.2500095267846797	0.2499994679148046	1.4354201449328523	1.4360944702087985	[1.9999222976453188, -7.032666073348183e-09, 0.0005800768798587258, 3.2715689659607053e-06, 1.5793347538516133e-05, 1.7411718971920905e-05]	[2.500000006060625, -6.0780315237918916e-09, -0.0007666921794294945, -2.246398082649925e-05, -2.1962353392708103e-05, -3.07747611012558e-05]	[3.0000000044006065, -4.396444059633279e-09, -0.000791093530104508, -1.649903948224394e-05, -1.6499312655819887e-05, -1.65515690804038e-05]	[-0.0029469435730780616, -6.886655164249024e-07, 0.019006356789555413, -8.831763083127197e-05, 0.0007564883540376709, 0.0007963065674371964]	[-2.2346215183046052e-07, 2.2777007383705893e-07, -0.030248156263782598, -0.0007454066858939848, -0.0006449794135626624, -0.0014292338779077264]	[-1.753550000544717e-07, 1.7577405110197895e-07, -0.03176296647530968, -0.0006355520018335795, -0.0006355519877500563, -0.0006397441689616879]	[-0.3907754699836702, -0.0007702635930750227, 5.991045120598104, -0.0010921910812969086, 0.0027201089012310643, 0.0023545436747540163]	[2.5349609951923947e-05, -2.3363653089668933e-05, 0.7228620545805433, -0.0015344843863654303, 6.828365748635153e-05, -0.006138670424867275]	[-0.3907754699836702, -0.0007702635930750227, 5.991045120598104, -0.0010921910812969086, 0.0027201089012310643, 0.0023545436747540163]	0.2730721397616941	
5	8.205607	0.361451	True	15.305991127513296	15.310499130384441	0.2500138489282952	0.24999904303519138	1.4351573505088906	1.4360847228275297	[1.9998912194381941, -2.244266094165156e-08, 0.0007648453578488155, 2.2212623489795746e-06, 2.3919867697555655e-05, 2.5767640156192103e-05]	[2.5000000115814647, -1.1912275108250234e-08, -0.0010969970567628294, -3.041023272162976e-05, -2.8344930404453112e-05, -4.692172391652135e-05]	[3.0000000090375942, -9.02725128173644e-09, -0.001140893466010645, -2.338474960050514e-05, -2.3385299424980582e-05, -2.3493343686210432e-05]	[-0.0032696067518696434, -2.1566159995919493e-06, 0.017946419799370734, -0.00012177496164427791, 0.0008686989598172927, 0.0008749305104752724]	[-3.4742747920386976e-07, 3.622856733701553e-07, -0.03581699994676781, -0.0008437984479127413, -0.0006312808549197449, -0.0018004629995495573]	[-3.008861611066097e-07, 3.0175259842692145e-07, -0.038201854617872594, -0.0007415228386471519, -0.0007415227973272503, -0.0007487176766064002]	[-0.3586794286246236, -0.0016592547986587587, 5.908887707516833, -0.0005213056997771567, 0.0017859153538408554, 0.0011994917974609053]	[4.0356885331517534e-05, -3.749290136976529e-05, 0.9904526862364053, -0.001581893907951481, 0.00020345589138345518, -0.005826636029776855]	[-0.3586794286246236, -0.0016592547986587587, 5.908887707516833, -0.0005213056997771567, 0.0017859153538408554, 0.0011994917974609053]	0.27897808535960184	
6	8.625906	0.377968	True	15.304575023923041	15.310499147406714	0.2500187643981287	0.24999840316124444	1.4348721978770704	1.4360700327170701	[1.9998570501628619, -5.652974005460385e-08, 0.0009386333793970061, 8.75184352085125e-07, 3.2927401111796316e-05, 3.470930017501371e-05]	[2.5000000195280005, -2.0886848756380416e-08, -0.0014819507460425085, -3.9309552168366375e-05, -3.45714779096346e-05, -6.667072401861677e-05]	[3.000000016548365, -1.6526079297706317e-08, -0.0015552275162125859, -3.1324559388899256e-05, -3.132554789861377e-05, -3.15247482237089e-05]	[-0.0035653962301382533, -4.399734671567957e-06, 0.016810137135589216, -0.0001474765188689532, 0.0009326319655493555, 0.0009134267497927657]	[-4.984457804014683e-07, 5.382893566422854e-07, -0.04117776245199992, -0.0009360348964082632, -0.0006137222971181651, -0.0021496349144843564]	[-4.735078813185234e-07, 4.751054460329416e-07, -0.044669811168001394, -0.0008463610158213775, -0.0008463608950512892, -0.0008576861275886882]	[-0.32659063214030026, -0.0025478598592766077, 5.826778241855369, -0.00039803347745199347, 0.001027964130974274, 0.0005533483074413444]	[5.536470786312371e-05, -5.162337433904727e-05, 1.2580541221188892, -0.0014969629154364436, 0.0002489831865732071, -0.005448506123257424]	[-0.32659063214030026, -0.0025478598592766077, 5.826778241855369, -0.00039803347745199347, 0.001027964130974274, 0.0005533483074413444]	0.28505510161536957	
7	9.031040	0.365342	True	15.303041922754353	15.310499115696762	0.25002420036131107	0.24999749689239287	1.434566157493942	1.4360492113113144	[1.9998200588801096, -1.1709954090788686e-07, 0.0011006761250110983, -6.68694055209931e-07, 4.242340726386448e-05, 4.388631311166402e-05]	[2.500000030168899, -3.378928682001506e-08, -0.0019194676950167926, -4.909200316709154e-05, -4.060867976748938e-05, -8.979493631334569e-05]	[3.0000000278977117, -2.7854453772941557e-08, -0.002034387020393363, -4.030823452738961e-05, -4.0309874680232306e-05, -4.0647639214372885e-05]	[-0.003834226039630074, -7.4202064016727605e-06, 0.01559722243715859, -0.00016133978769189306, 0.0009663566863644333, 0.0009219818650952241]	[-6.755194907612611e-07, 7.617964618655829e-07, -0.04632949497832637, -0.001020446559515023, -0.0005933476815704699, -0.0024754984007274976]	[-6.999860538495564e-07, 7.026952287150312e-07, -0.05116696735408642, -0.0009502905664195543, -0.0009502902847813474, -0.0009670361610346257]	[-0.2945162846321211, -0.003435956734418392, 5.744735671967539, -0.0002107272401865684, 0.0005634770099586794, 7.264276165520097e-05]	[7.03731171279519e-05, -6.575514184670796e-05, 1.5256663622326516, -0.0013880164711399545, 0.0002779902395562068, -0.005051944430290229]	[-0.2945162846321211, -0.003435956734418392, 5.744735671967539, -0.0002107272401865684, 0.0005634770099586794, 7.264276165520097e-05]	0.2913221548026548	
8	9.393232	0.326213	True	15.30140300771621	15.310498996607452	0.25003008383542014	0.24999627269763658	1.4342407062910247	1.4360210646184124	[1.9997805154693145, -2.1199759350016787e-07, 0.0012502055989156925, -2.291618421431321e-06, 5.210485191209024e-05, 5.299860946310856e-05]	[2.5000000437030323, -5.1398191347017665e-08, -0.00240745288906294, -5.9678496976479406e-05, -4.6428535658779855e-05, -0.00011606076603447202]	[3.0000000441890937, -4.411155401245083e-08, -0.0025786646334577295, -5.032585792281863e-05, -5.032842020825785e-05, -5.0865813204509165e-05]	[-0.00407599941679732, -1.122137449724732e-05, 0.014307329748827037, -0.00016329203769918063, 0.0009696899778497028, 0.000900464577000835]	[-8.774605118486357e-07, 1.038378885118753e-06, -0.05127125385729119, -0.001096872289088033, -0.0005701752304680658, -0.002777951260508846]	[-9.870492788063987e-07, 9.913603548527857e-07, -0.05769345499661987, -0.0010531513084340886, -0.0010531507478974938, -0.0010767694500246863]	[-0.2624419371239419, -0.004324053609560176, 5.662693102079709, -2.342100292114334e-05, 9.898988894308479e-05, -0.0004080627841309424]	[8.538152639278007e-05, -7.988690935436865e-05, 1.793278602346414, -0.0012790700268434654, 0.00030699729253920644, -0.004655382737323034]	[-0.2624419371239419, -0.004324053609560176, 5.662693102079709, -2.342100292114334e-05, 9.898988894308479e-05, -0.0004080627841309424]	0.2977837167749816	
9	9.795759	0.363388	True	15.299669494474072	15.310498742184143	0.25003634172726025	0.24999467891443666	1.4338973276123264	1.435984393195808	[1.9997386905674572, -3.4910821271285076e-07, 0.001386450783344221, -3.9327561755048924e-06, 6.177881306309864e-05, 6.190521474142298e-05]	[2.500000060258772, -7.445878476445348e-08, -0.0029438018085412255, -7.098661902814892e-05, -5.200490638432402e-05, -0.0001452287833728552]	[3.000000066663852, -6.653330633448262e-08, -0.0031883543314606684, -6.136629791021305e-05, -6.137011679055458e-05, -6.21834671317611e-05]	[-0.004290647268743246, -1.5806515499913956e-05, 0.012940203960935787, -0.00016499713988845188, 0.0009648513697785862, 0.0008808481893054943]	[-1.1029039331831309e-06, 1.3731306446260321e-06, -0.05600208174396737, -0.0011648064678006496, -0.0005445595290319007, -0.0030559276341619182]	[-1.3413835283930232e-06, 1.3479096266364036e-06, -0.06424940651083307, -0.0011548612822748349, -0.0011548602789025319, -0.001186965007584604]	[-0.23039781874931656, -0.005211333672894507, 5.580756561595275, -2.3255976427815413e-05, -8.465191007114945e-06, -0.0003762086505802399]	[0.00010039055964373324, -9.402018094798735e-05, 2.060901646691455, -0.001164442291324404, 0.0003307012178310564, -0.004243443311430722]	[-0.23039781874931656, -0.005211333672894507, 5.580756561595275, -2.3255976427815413e-05, -8.465191007114945e-06, -0.0003762086505802399]	0.3044202745385518	
10	10.168305	0.336402	True	15.2978526309593	15.31049829499863	0.25004290083346564	0.24999266374685405	1.4335375112473145	1.4359379921252116	[1.999694855591084, -5.363512579546303e-07, 0.001508637629410031, -5.58962050059562e-06, 7.136341836173802e-05, 7.062517984447775e-05]	[2.500000079894382, -1.0365960812727375e-07, -0.0035264003858159485, -8.293073564587375e-05, -5.73135613217996e-05, -0.00017705369085079407]	[3.000000096700053, -9.649110206393626e-08, -0.003863751417561744, -7.3417220256808e-05, -7.342270047280003e-05, -7.460520083070377e-05]	[-0.004478074675814133, -2.117977425958707e-05, 0.011495496404653131, -0.0001664514589564664, 0.0009518123025690867, 0.0008631410366672177]	[-1.3503238353958847e-06, 1.7706435707936518e-06, -0.06052102638757797, -0.0012241097969113931, -0.0005165282907665053, -0.0033093202024702994]	[-1.7696252409110782e-06, 1.7791152764574458e-06, -0.07083495490934767, -0.0012552625903141847, -0.0012552609239659142, -0.0012976248605698856]	[-0.1983537003746912, -0.006098613736228838, 5.498820021110841, -2.3090949934487486e-05, -0.00011592027095731468, -0.0003443545170295374]	[0.00011539959289468641, -0.00010815345254160604, 2.328524691036496, -0.0010498145558053425, 0.00035440514312290634, -0.00383150388553841]	[-0.1983537003746912, -0.006098613736228838, 5.498820021110841, -2.3090949934487486e-05, -0.00011592027095731468, -0.0003443545170295374]	0.3112191736376333	
11	10.564348	0.353315	True	15.295963702626855	15.310497587971243	0.25004968779067416	0.2499901752644064	1.4331627536931315	1.4358806510110331	[1.999649282875825, -7.816855066841582e-07, 0.0016159885817695035, -7.2596901412994e-06, 8.077657085302159e-05, 7.917763963380147e-05]	[2.50000010259843, -1.3961139709147797e-07, -0.004153125009270196, -9.542388870409545e-05, -6.233055952509095e-05, -0.0002112891172458848]	[3.0000001358107538, -1.3548994370001136e-07, -0.0046051525280055095, -8.646471460088091e-05, -8.64723372590688e-05, -8.813563208940496e-05]	[-0.004638186901080559, -2.734533387819851e-05, 0.009972856837031596, -0.00016765172013162753, 0.0009305564175721671, 0.0008473514902880314]	[-1.6180373671881115e-06, 2.234990814806677e-06, -0.06482713123833739, -0.0012746553411290612, -0.00048611297193123506, -0.0035380211756674243]	[-2.278352039426568e-06, 2.2917036137859186e-06, -0.07745023380484155, -0.0013541986153425367, -0.0013541959984023277, -0.0014087510447229558]	[-0.16630958200006582, -0.006985893799563168, 5.4168834806264075, -2.292592344115956e-05, -0.0002233753509075144, -0.0003125003834788349]	[0.00013040862614563958, -0.00012228672413522473, 2.5961477353815368, -0.0009351868202862811, 0.0003781090684147563, -0.003419564459646098]	[-0.16630958200006582, -0.006985893799563168, 5.4168834806264075, -2.292592344115956e-05, -0.0002233753509075144, -0.0003125003834788349]	0.3181560559339991	
