frame 1/300	mpc_controller.times[-1]=5.536848s	[[1.33461544 1.33421762]]	saved figure 0.png
frame 2/300	mpc_controller.times[-1]=2.992851s	[[1.3355778 1.3345098]]	saved figure 1.png
frame 3/300	mpc_controller.times[-1]=5.217078s	[[1.33700044 1.3350938 ]]	saved figure 2.png
frame 4/300	mpc_controller.times[-1]=0.536921s	[[1.3388254  1.33603195]]	saved figure 3.png
frame 5/300	mpc_controller.times[-1]=1.669037s	[[1.34099439 1.33738678]]	saved figure 4.png
frame 6/300	mpc_controller.times[-1]=1.867719s	[[1.34345628 1.33916394]]	saved figure 5.png
frame 7/300	mpc_controller.times[-1]=2.473298s	[[1.34616559 1.34132616]]	saved figure 6.png
frame 8/300	mpc_controller.times[-1]=4.244596s	[[1.34907654 1.34383594]]	saved figure 7.png
frame 9/300	mpc_controller.times[-1]=2.077882s	[[1.3521429  1.34665556]]	saved figure 8.png
frame 10/300	mpc_controller.times[-1]=0.974352s	[[1.35531799 1.34974707]]	saved figure 9.png
frame 11/300	mpc_controller.times[-1]=0.351646s	[[1.35855452 1.35307222]]	saved figure 10.png
frame 12/300	mpc_controller.times[-1]=2.949601s	[[1.36180455 1.35659242]]	saved figure 11.png
frame 13/300	mpc_controller.times[-1]=1.175304s	[[1.36501947 1.3602688 ]]	saved figure 12.png
frame 14/300	mpc_controller.times[-1]=0.815450s	[[1.36814977 1.36406211]]	saved figure 13.png
frame 15/300	mpc_controller.times[-1]=0.532780s	[[1.37116319 1.36791468]]	saved figure 14.png
frame 16/300	mpc_controller.times[-1]=3.742884s	[[1.37404649 1.37174856]]	saved figure 15.png
frame 17/300	mpc_controller.times[-1]=0.625808s	[[1.37678544 1.3754853 ]]	saved figure 16.png
frame 18/300	mpc_controller.times[-1]=0.679709s	[[1.37936478 1.37904596]]	saved figure 17.png
frame 19/300	mpc_controller.times[-1]=2.345724s	[[1.38166141 1.38240808]]	saved figure 18.png
frame 20/300	mpc_controller.times[-1]=1.373423s	[[1.38355114 1.38554902]]	saved figure 19.png
frame 21/300	mpc_controller.times[-1]=0.522420s	[[1.38490877 1.38844601]]	saved figure 20.png
frame 22/300	mpc_controller.times[-1]=0.439801s	[[1.3856081  1.39107617]]	saved figure 21.png
frame 23/300	mpc_controller.times[-1]=0.462358s	[[1.38552201 1.39341661]]	saved figure 22.png
frame 24/300	mpc_controller.times[-1]=2.147722s	[[1.38452276 1.39544449]]	saved figure 23.png
frame 25/300	mpc_controller.times[-1]=0.615685s	[[1.38248147 1.39713708]]	saved figure 24.png
frame 26/300	mpc_controller.times[-1]=6.973328s	[[1.37936035 1.39848645]]	saved figure 25.png
frame 27/300	mpc_controller.times[-1]=0.423539s	[[1.37511973 1.39948504]]	saved figure 26.png
frame 28/300	mpc_controller.times[-1]=10.753245s	[[1.36964293 1.40012376]]	saved figure 27.png
frame 29/300	mpc_controller.times[-1]=4.406726s	[[1.3628177  1.40038443]]	saved figure 28.png
frame 30/300	mpc_controller.times[-1]=4.262318s	[[1.3546856  1.40018685]]	saved figure 29.png
frame 31/300	mpc_controller.times[-1]=1.460638s	[[1.34529054 1.39945234]]	saved figure 30.png
frame 32/300	mpc_controller.times[-1]=0.519845s	[[1.33467913 1.39810378]]	saved figure 31.png
frame 33/300	mpc_controller.times[-1]=0.529393s	[[1.3229011 1.3960657]]	saved figure 32.png
frame 34/300	mpc_controller.times[-1]=2.320005s	[[1.31000115 1.39329367]]	saved figure 33.png
frame 35/300	mpc_controller.times[-1]=5.086489s	[[1.29598246 1.38974514]]	saved figure 34.png
frame 36/300	mpc_controller.times[-1]=3.927778s	[[1.28090102 1.3853745 ]]	saved figure 35.png
frame 37/300	mpc_controller.times[-1]=4.282175s	[[1.26482077 1.38013231]]	saved figure 36.png
frame 38/300	mpc_controller.times[-1]=0.564613s	[[1.24780986 1.37397062]]	saved figure 37.png
frame 39/300	mpc_controller.times[-1]=0.514758s	[[1.22994129 1.36684277]]	saved figure 38.png
frame 40/300	mpc_controller.times[-1]=5.772159s	[[1.21129847 1.3587162 ]]	saved figure 39.png
frame 41/300	mpc_controller.times[-1]=1.602170s	[[1.19197794 1.34954941]]	saved figure 40.png
frame 42/300	mpc_controller.times[-1]=0.373649s	[[1.17208294 1.33929956]]	saved figure 41.png
frame 43/300	mpc_controller.times[-1]=5.388177s	[[1.15173324 1.32792914]]	saved figure 42.png
frame 44/300	mpc_controller.times[-1]=0.704611s	[[1.1310576 1.3153988]]	saved figure 43.png
frame 45/300	mpc_controller.times[-1]=0.935139s	[[1.11019436 1.30166739]]	saved figure 44.png
frame 46/300	mpc_controller.times[-1]=0.666614s	[[1.08929292 1.28669165]]	saved figure 45.png
frame 47/300	mpc_controller.times[-1]=4.850697s	[[1.06863208 1.27045897]]	saved figure 46.png
frame 48/300	mpc_controller.times[-1]=2.437136s	[[1.04851341 1.25294399]]	saved figure 47.png
frame 49/300	mpc_controller.times[-1]=1.260746s	[[1.02925475 1.23411643]]	saved figure 48.png
frame 50/300	mpc_controller.times[-1]=2.625171s	[[1.01119112 1.2139409 ]]	saved figure 49.png
frame 51/300	mpc_controller.times[-1]=1.353232s	[[0.99467529 1.19237694]]	saved figure 50.png
frame 52/300	mpc_controller.times[-1]=12.473865s	[[0.97993249 1.16940768]]	saved figure 51.png
frame 53/300	mpc_controller.times[-1]=1.517919s	[[0.96721727 1.1450105 ]]	saved figure 52.png
frame 54/300	mpc_controller.times[-1]=8.806888s	[[0.95681784 1.11914905]]	saved figure 53.png
frame 55/300	mpc_controller.times[-1]=0.546389s	[[0.94905843 1.09178429]]	saved figure 54.png
frame 56/300	mpc_controller.times[-1]=4.105209s	[[0.94430727 1.06287482]]	saved figure 55.png
frame 57/300	mpc_controller.times[-1]=0.403879s	[[0.94297984 1.03237722]]	saved figure 56.png
frame 58/300	mpc_controller.times[-1]=0.606119s	[[0.9455389  1.00024668]]	saved figure 57.png
frame 59/300	mpc_controller.times[-1]=0.461790s	[[0.95248723 0.96643759]]	saved figure 58.png
frame 60/300	mpc_controller.times[-1]=0.578396s	[[0.96434578 0.9309044 ]]	saved figure 59.png
frame 61/300	mpc_controller.times[-1]=3.411345s	[[0.98166152 0.89360251]]	saved figure 60.png
frame 62/300	mpc_controller.times[-1]=4.847213s	[[1.00469118 0.85450026]]	saved figure 61.png
frame 63/300	mpc_controller.times[-1]=0.356930s	[[1.03338217 0.81356761]]	saved figure 62.png
frame 64/300	mpc_controller.times[-1]=0.889273s	[[1.06698039 0.77077711]]	saved figure 63.png
frame 65/300	mpc_controller.times[-1]=0.535851s	[[1.10339139 0.72610504]]	saved figure 64.png
frame 66/300	mpc_controller.times[-1]=0.541983s	[[1.13839162 0.67953281]]	saved figure 65.png
frame 67/300	mpc_controller.times[-1]=66.966786s	[[1.15774073 0.63105204]]	saved figure 66.png
frame 68/300	mpc_controller.times[-1]=0.965880s	[[1.14972961 0.58066271]]	saved figure 67.png
frame 69/300	mpc_controller.times[-1]=1.231460s	[[1.11421898 0.52837485]]	saved figure 68.png
frame 70/300	mpc_controller.times[-1]=2.413947s	[[1.0682369  0.47421046]]	saved figure 69.png
frame 71/300	mpc_controller.times[-1]=2.407585s	[[1.02835009 0.41820543]]	saved figure 70.png
frame 72/300	mpc_controller.times[-1]=0.527872s	[[1.00188801 0.36041173]]	saved figure 71.png
frame 73/300	mpc_controller.times[-1]=0.311943s	[[0.98833315 0.30089953]]	saved figure 72.png
frame 74/300	mpc_controller.times[-1]=4.421038s	[[0.98388998 0.23975951]]	saved figure 73.png
frame 75/300	mpc_controller.times[-1]=0.979023s	[[0.98458392 0.17710503]]	saved figure 74.png
frame 76/300	mpc_controller.times[-1]=4.519513s	[[0.98737315 0.11307408]]	saved figure 75.png
frame 77/300	mpc_controller.times[-1]=2.294335s	[[0.99023369 0.04783041]]	saved figure 76.png
frame 78/300	mpc_controller.times[-1]=5.282911s	[[ 0.99190883 -0.0184368 ]]	saved figure 77.png
frame 79/300	mpc_controller.times[-1]=6.539129s	[[ 0.99159622 -0.08551587]]	saved figure 78.png
frame 80/300	mpc_controller.times[-1]=1.175071s	[[ 0.98873912 -0.15317991]]	saved figure 79.png
frame 81/300	mpc_controller.times[-1]=1.106292s	[[ 0.98294881 -0.22120072]]	saved figure 80.png
frame 82/300	mpc_controller.times[-1]=1.067073s	[[ 0.9740346  -0.28937373]]	saved figure 81.png
frame 83/300	mpc_controller.times[-1]=0.467496s	[[ 0.96203757 -0.3575615 ]]	saved figure 82.png
frame 84/300	mpc_controller.times[-1]=1.003687s	[[ 0.94716111 -0.42577253]]	saved figure 83.png
frame 85/300	mpc_controller.times[-1]=4.804361s	[[ 0.92963112 -0.494313  ]]	saved figure 84.png
frame 86/300	mpc_controller.times[-1]=0.960543s	[[ 0.90959416 -0.56411942]]	saved figure 85.png
frame 87/300	mpc_controller.times[-1]=0.499029s	[[ 0.88708817 -0.63759701]]	saved figure 86.png
frame 88/300	mpc_controller.times[-1]=0.811033s	[[ 0.86205672 -0.72130947]]	saved figure 87.png
frame 89/300	mpc_controller.times[-1]=0.965418s	[[ 0.83437753 -0.83393665]]	saved figure 88.png
frame 90/300	mpc_controller.times[-1]=2.499469s	[[1.68164988 0.39868935]]	saved figure 89.png
frame 91/300	mpc_controller.times[-1]=7.127166s	[[1.60052325 0.436911  ]]	saved figure 90.png
frame 92/300	mpc_controller.times[-1]=1.373948s	[[1.5163154  0.48006801]]	saved figure 91.png
frame 93/300	mpc_controller.times[-1]=19.737296s	[[1.43150336 0.52819043]]	saved figure 92.png
frame 94/300	mpc_controller.times[-1]=14.448844s	[[1.34805878 0.58062598]]	saved figure 93.png
frame 95/300	mpc_controller.times[-1]=8.025154s	[[1.26685624 0.63716594]]	saved figure 94.png
frame 96/300	mpc_controller.times[-1]=12.613209s	[[1.18837817 0.69748641]]	saved figure 95.png
frame 97/300	mpc_controller.times[-1]=8.375142s	[[1.11308661 0.76114723]]	saved figure 96.png
frame 98/300	mpc_controller.times[-1]=9.307448s	[[1.04142343 0.82758581]]	saved figure 97.png
frame 99/300	mpc_controller.times[-1]=13.560303s	[[0.97380867 0.89611451]]	saved figure 98.png
frame 100/300	mpc_controller.times[-1]=3.761188s	[[0.91063695 0.96592219]]	saved figure 99.png
