frame 1/400	actuation=[ 4.66882872  4.67405407 10.39372526]+[-5.93190233 -5.97033313  1.55948888]	state=[0. 0. 0.]+[0. 0. 0.]	compute_time=17.690877s	n_f_eval=1750	saved figure 0.png in 28.845199s
frame 2/400	actuation=[ 7.09299431  7.0958717  18.31351343]+[-10.41222538 -10.47298286   4.05670427]	state=[0.00025374 0.00025402 0.00017229]+[-0.00032239 -0.00032447 -0.00030783]	compute_time=10.200371s	n_f_eval=1725	saved figure 1.png in 32.370941s
frame 3/400	actuation=[ 8.01329391  8.01348821 24.35501666]+[-13.82487048 -13.88576782   7.12920644]	state=[0.00089292 0.00089364 0.00094739]+[-0.00121077 -0.00121813 -0.00078755]	compute_time=14.184761s	n_f_eval=1375	saved figure 2.png in 24.653271s
frame 4/400	actuation=[ 7.95329661  7.95319412 28.94919875]+[-16.44532158 -16.48282855  10.49681893]	state=[0.0019673 0.0019685 0.002654 ]+[-0.00285098 -0.00286639 -0.00127119]	compute_time=15.334442s	n_f_eval=1400	saved figure 3.png in 24.732016s
frame 5/400	actuation=[ 7.27711356  7.27867731 32.40343481]+[-18.4676394  -18.46048223  13.94658274]	state=[0.00347291 0.00347468 0.0055427 ]+[-0.00538595 -0.00541004 -0.00157287]	compute_time=13.310982s	n_f_eval=1425	saved figure 4.png in 20.768935s
frame 6/400	actuation=[ 6.23591624  6.23966442 34.93382706]+[-20.02292264 -19.95578996  17.32031088]	state=[0.00537161 0.00537426 0.00980275]+[-0.00892593 -0.00895534 -0.00149913]	compute_time=15.086603s	n_f_eval=1400	saved figure 5.png in 18.757175s
frame 7/400	actuation=[ 5.00023211  5.00570023 36.6911366 ]+[-21.1930486  -21.06064363  20.50563889]	state=[0.0076045  0.00760864 0.01557383]+[-0.01355513 -0.01358068 -0.0008561 ]	compute_time=7.122407s	n_f_eval=1375	saved figure 6.png in 24.179237s
frame 8/400	actuation=[ 3.68581577  3.6925698  37.78161515]+[-22.02841775 -21.83666583  23.42378869]	state=[0.01010112 0.01010766 0.02295412]+[-0.01933539 -0.01934058  0.00054559]	compute_time=11.383969s	n_f_eval=1400	saved figure 7.png in 21.561405s
frame 9/400	actuation=[ 2.36914245  2.3787242  38.28748336]+[-22.55910245 -22.32421958  26.0191804 ]	state=[0.01278577 0.01279599 0.03200586]+[-0.02630824 -0.02626802  0.0028874 ]	compute_time=6.844065s	n_f_eval=1400	saved figure 8.png in 23.136040s
frame 10/400	actuation=[ 1.10130842  1.11648666 38.27282287]+[-22.80310876 -22.54988569  28.25546679]	state=[0.01558188 0.01559747 0.04275967]+[-0.03449583 -0.03437557  0.00634018]	compute_time=7.284203s	n_f_eval=1375	saved figure 9.png in 21.536847s
frame 11/400	actuation=[-0.08497285 -0.0599483  37.79293072]+[-22.77244406 -22.53128601  30.10878418]	state=[0.018415   0.01843826 0.05521787]+[-0.04390146 -0.0436561   0.01106195]	compute_time=10.999340s	n_f_eval=1375	saved figure 10.png in 24.674862s
frame 12/400	actuation=[-1.16872018 -1.12882793 36.89736308]+[-22.47695985 -22.28103435  31.56566088]	state=[0.02121493 0.02124897 0.06935736]+[-0.05451008 -0.0540832   0.01719575]	compute_time=7.634441s	n_f_eval=1375	saved figure 11.png in 20.434790s
frame 13/400	actuation=[-2.13711844 -2.07737965 35.63198456]+[-21.9260184  -21.80867419  32.62036276]	state=[0.02391721 0.02396622 0.08513229]+[-0.06628884 -0.06561175  0.02486766]	compute_time=6.847568s	n_f_eval=1375	saved figure 12.png in 20.953424s
frame 14/400	actuation=[-2.9836007  -2.89980861 34.04019203]+[-21.1315199  -21.12345059  33.27315257]	state=[0.02646413 0.02653366 0.10247659]+[-0.07918796 -0.07817877  0.03418473]	compute_time=6.712073s	n_f_eval=1375	saved figure 13.png in 21.374515s
frame 15/400	actuation=[-3.70522642 -3.59464651 32.16402036]+[-20.1062902  -20.23446664  33.53161528]	state=[0.02880543 0.02890254 0.12130638]+[-0.09314192 -0.09170463  0.0452331 ]	compute_time=11.255392s	n_f_eval=1375	saved figure 14.png in 21.428789s
